id,condition,perceived_alt,actC_avg_m_alt,actC_avg_p_alt,actC_avg_a_alt,actMO_avg_m_alt,actMO_avg_s_alt,actMO_avg_e_alt,actMO_avg_o_alt,perceived_self,actC_avg_m_self,actC_avg_p_self,actC_avg_a_self,actMO_avg_m_self,actMO_avg_s_self,actMO_avg_e_self,actMO_avg_o_self,rt,alt_comp_e,alt_comp_m,alt_comp_o,alt_comp_s,alt_comp
68,3,1.666666667,1.375,1.75,1.875,1.666666667,3.833333333,1.166666667,0,0.791666667,0.375,0.375,1.625,0,2.166666667,1,0,9.464625,0.083333333,0.833333333,0,0.833333333,0.4375
69,3,8.583333333,8.375,8.5,8.875,8.333333333,8,8.666666667,9.333333333,1.333333333,1.25,1.25,1.5,1.5,2.166666667,1,0.666666667,40.556625,3.833333333,3.416666667,4.333333333,2.916666667,3.625
70,1,7.25,7.25,7,7.5,,,,,2.25,2,2.75,2,,,,,6.725375,,,,,2.5
71,1,10,10,10,10,,,,,0,0,0,0,,,,,6.50225,,,,,5
72,1,3.5,3.375,3.875,3.25,,,,,1.375,1.625,1.375,1.125,,,,,42.7605,,,,,1.0625
73,1,8.875,8.875,8.375,9.375,,,,,1.166666667,1.125,1.625,0.75,,,,,21.269625,,,,,3.854166667
74,2,5.958333333,6.375,5.75,5.75,2.666666667,2.666666667,8.5,10,4.166666667,4.5,3.75,4.25,8.166666667,8.166666667,0.166666667,0.166666667,13.34575,4.166666667,-2.75,4.916666667,-2.75,0.895833333
75,3,5.166666667,5.25,5.25,5,3.666666667,5,6.666666667,5.333333333,2.75,3.375,3.125,1.75,5.666666667,3,1.333333333,1,66.100375,2.666666667,-1,2.166666667,1,1.208333333
76,3,6.291666667,6.25,6.375,6.25,6,4.333333333,7.333333333,7.5,1.083333333,1.375,0.875,1,1.166666667,2.666666667,0.5,0,15.789,3.416666667,2.416666667,3.75,0.833333333,2.604166667
77,3,8.125,8.375,8.25,7.75,6.333333333,7.5,9.166666667,9.5,0.041666667,0.125,0,0,0.166666667,0,0,0,17.05175,4.583333333,3.083333333,4.75,3.75,4.041666667
78,1,4.416666667,4.625,4,4.625,,,,,5.458333333,5.5,5,5.875,,,,,1.311625,,,,,-0.520833333
79,3,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,3.970625,5,5,5,5,5
80,2,6.75,8.375,5.25,6.625,6.833333333,7.333333333,6.5,6.333333333,3.375,2.5,3.875,3.75,2.666666667,2.833333333,4.166666667,3.833333333,40.4825,1.166666667,2.083333333,1.25,2.25,1.6875
81,1,5.458333333,5.75,4.75,5.875,,,,,2.916666667,2.625,3,3.125,,,,,15.404,,,,,1.270833333
82,1,8.75,8.75,8.375,9.125,,,,,1.5,0.375,3.5,0.625,,,,,11.310875,,,,,3.625
83,3,7.5,6.875,6.5,9.125,6.333333333,6.166666667,8.166666667,9.333333333,4.833333333,6.125,7,1.375,7.333333333,6.166666667,3.833333333,2,8.085125,2.166666667,-0.5,3.666666667,0,1.333333333
84,2,7.533333333,8.2,6.4,8,3.666666667,4,10,10,5,6.2,4.8,4,8,10,3.5,0,18.1406,3.25,-2.166666667,5,-3,1.266666667
85,3,0.541666667,0.5,0.5,0.625,0.5,1,0.666666667,0,0.5,0.375,0.5,0.625,0.5,1,0.5,0,14.753875,0.083333333,0,0,0,0.020833333
86,1,4.583333333,4.125,4.25,5.375,,,,,5,5,5.5,4.5,,,,,2.195875,,,,,-0.208333333
87,3,5.166666667,5,5.125,5.375,3.166666667,3.166666667,7.166666667,7.166666667,4.541666667,4.875,4.25,4.5,6.333333333,7,2.5,2.333333333,7.419625,2.333333333,-1.583333333,2.416666667,-1.916666667,0.3125
88,2,8.2,9.2,7,8.4,7,7.666666667,8.5,9.333333333,1.733333333,0.8,3.2,1.2,2.666666667,2.666666667,1.166666667,1,9.899,3.666666667,2.166666667,4.166666667,2.5,3.233333333
89,3,8.083333333,7.75,7.875,8.625,7.666666667,7.666666667,9,8,0.416666667,0.5,0.75,0,0.833333333,0.666666667,0,0.166666667,5.50625,4.5,3.416666667,3.916666667,3.5,3.833333333
90,3,6.875,6.75,6.75,7.125,6.166666667,6,7.166666667,8.166666667,1.875,2,2,1.625,2.666666667,3,0.833333333,1,12.350875,3.166666667,1.75,3.583333333,1.5,2.5
91,1,9.958333333,10,9.875,10,,,,,0,0,0,0,,,,,10.806875,,,,,4.979166667
92,2,5.583333333,6.125,5.625,5,3.666666667,4,7,7.666666667,3.125,3,3.25,3.125,6.166666667,5.833333333,0.166666667,0.333333333,12.971125,3.416666667,-1.25,3.666666667,-0.916666667,1.229166667
93,3,6,5.875,6.25,5.875,7,5.5,4.333333333,7.166666667,3.875,4.625,3.125,3.875,3.5,4.333333333,5.166666667,2.5,2.8425,-0.416666667,1.75,2.333333333,0.583333333,1.0625
94,1,5.958333333,6.5,5.25,6.125,,,,,1.708333333,1.625,2,1.5,,,,,8.361625,,,,,2.125
95,1,6.375,6.25,6.375,6.5,,,,,1.083333333,0.625,1.75,0.875,,,,,8.099,,,,,2.645833333
96,2,6.375,5.875,7.25,6,4.5,3.833333333,8.166666667,9,1.583333333,1.875,1.5,1.375,4,0.833333333,1.5,0,18.221,3.333333333,0.25,4.5,1.5,2.395833333
97,2,6.458333333,6.375,6.5,6.5,1,5.833333333,9,10,1.291666667,1.625,1,1.25,3,1.666666667,0.5,0,33.0765,4.25,-1,5,2.083333333,2.583333333
98,1,7.125,7.125,7.125,7.125,,,,,1.458333333,1.125,2,1.25,,,,,7.739,,,,,2.833333333
99,1,9.625,9.75,9.5,9.625,,,,,0.541666667,0.375,0.875,0.375,,,,,9.460125,,,,,4.541666667
100,1,7,6.75,7.125,7.125,,,,,2.875,2.625,3.125,2.875,,,,,8.0965,,,,,2.0625
101,3,6.458333333,6.625,6.375,6.375,5.333333333,7.166666667,6.833333333,6.5,2.708333333,2.375,2.5,3.25,4.166666667,1.833333333,2.833333333,2,4.659125,2,0.583333333,2.25,2.666666667,1.875
102,2,5.625,4.375,5.25,7.25,3.666666667,4.166666667,6.166666667,8.5,3.375,4.25,3.625,2.25,5.166666667,5,3,0.333333333,171.71575,1.583333333,-0.75,4.083333333,-0.416666667,1.125
103,1,7.708333333,7.75,7.625,7.75,,,,,0.333333333,0.25,0.5,0.25,,,,,5.990875,,,,,3.6875
104,3,10,10,10,10,10,10,10,10,1.75,1.75,1.75,1.75,0,6,0,1,14.826375,5,5,4.5,2,4.125
105,2,6.791666667,6.75,6.625,7,3.333333333,5.5,8.333333333,10,1.625,2.5,1,1.375,4,0.833333333,1.666666667,0,17.264875,3.333333333,-0.333333333,5,2.333333333,2.583333333
